Name,IQ,GPA,Placement
Student0,141,2.36,1
Student1,94,3.63,0
Student2,146,2.96,0
Student3,141,3.08,1
Student4,103,3.65,1
Student5,128,3.6,0
Student6,142,3.77,0
Student7,128,3.26,0
Student8,94,2.34,1
Student9,135,3.02,0
Student10,110,2.02,1
Student11,116,2.86,1
Student12,111,2.27,1
Student13,108,3.39,0
Student14,133,2.43,0
Student15,109,2.14,1
Student16,124,2.89,0
Student17,150,2.83,0
Student18,125,3.01,1
Student19,82,3.34,0
Student20,146,2.6,1
Student21,111,3.36,1
Student22,100,2.13,0
Student23,91,3.56,1
Student24,113,3.96,0
Student25,80,2.61,1
Student26,85,2.71,1
Student27,107,2.49,1
Student28,123,2.11,1
Student29,95,2.42,0
Student30,119,2.13,0
Student31,88,2.17,0
Student32,86,3.23,1
Student33,82,2.07,1
Student34,121,2.84,1
Student35,85,3.14,0
Student36,99,3.93,1
Student37,148,3.37,1
Student38,122,3.8,0
Student39,89,2.71,0
Student40,119,3.05,0
Student41,149,3.98,1
Student42,87,3.14,1
Student43,100,2.18,0
Student44,86,3.67,1
Student45,133,2.9,0
Student46,139,2.35,0
Student47,124,3.87,0
Student48,121,3.22,1
Student49,138,2.68,1
Student50,140,3.03,1
Student51,149,2.2,0
Student52,94,2.17,1
Student53,114,3.6,1
Student54,89,2.24,0
Student55,87,3.9,0
Student56,141,3.36,0
Student57,109,3.52,0
Student58,83,2.34,1
Student59,112,3.19,0
Student60,125,3.21,0
Student61,129,3.02,0
Student62,135,2.05,1
Student63,109,2.95,1
Student64,115,2.85,1
Student65,96,3.26,0
Student66,132,2.13,1
Student67,124,2.5,1
Student68,88,3.41,0
Student69,139,3.76,1
Student70,137,3.0,1
Student71,125,3.16,0
Student72,140,2.24,0
Student73,95,2.11,0
Student74,96,2.61,1
Student75,147,3.9,1
Student76,142,3.67,0
Student77,96,2.15,1
Student78,141,2.93,1
Student79,104,2.25,0
Student80,87,2.51,1
Student81,116,2.6,1
Student82,82,2.59,1
Student83,135,2.82,0
Student84,142,2.64,1
Student85,121,3.63,1
Student86,124,3.67,0
Student87,87,3.26,0
Student88,99,2.24,1
Student89,88,2.01,1
Student90,143,3.36,0
Student91,124,3.12,1
Student92,142,2.03,1
Student93,91,2.93,1
Student94,85,2.89,1
Student95,83,3.76,1
Student96,116,2.34,1
Student97,82,3.57,1
Student98,83,3.29,1
Student99,104,3.2,1
Student100,138,3.64,0
Student101,113,3.81,1
Student102,136,2.07,1
Student103,110,3.8,1
Student104,116,2.81,1
Student105,147,3.43,1
Student106,85,3.73,0
Student107,140,2.01,1
Student108,115,2.67,0
Student109,85,2.13,1
Student110,144,3.08,1
Student111,92,3.04,0
Student112,102,3.62,0
Student113,90,3.91,1
Student114,90,3.08,0
Student115,105,3.59,0
Student116,139,2.23,1
Student117,150,3.8,0
Student118,142,3.47,0
Student119,149,2.13,0
Student120,90,3.71,1
Student121,134,2.86,1
Student122,133,2.01,1
Student123,131,2.54,1
Student124,117,3.61,1
Student125,96,3.43,1
Student126,80,3.82,1
Student127,116,3.52,0
Student128,81,2.47,0
Student129,129,3.28,1
Student130,121,3.46,1
Student131,144,2.92,0
Student132,97,2.13,1
Student133,83,2.28,0
Student134,129,3.07,0
Student135,111,2.56,1
Student136,97,3.0,0
Student137,110,2.45,0
Student138,126,2.72,0
